LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 100897 6.248802 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 126802 7.853163 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 107396 6.651301 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 137765 8.532129 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 126609 7.841210 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 136382 8.446476 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 128855 7.980310 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 175124 10.845864 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 126727 7.848518 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 147170 9.114604 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 142722 8.839128 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 5 | 0.007866 0.007874 0.000062 | 135749 8.407273 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 132581 8.211071 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 6 | 0.007866 0.007874 0.000062 | 170483 10.558436 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 140452 8.698542 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 0 bk: 0 | k: 7 | 0.007866 0.007874 0.000062 | 146052 9.045363 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 116753 7.230803 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 1 bk: 0 | k: 0 | 0.007866 0.007874 0.000062 | 153054 9.479014 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 112421 6.962512 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 1 bk: 0 | k: 1 | 0.007866 0.007874 0.000062 | 120668 7.473269 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 154546 9.571418 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 1 bk: 0 | k: 2 | 0.007866 0.007874 0.000062 | 164418 10.182816 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 158855 9.838285 
LINE: 333 | tid: 1 wid: 0 | i: 0 j: 1 bk: 0 | k: 3 | 0.007866 0.007874 0.000062 | 148836 9.217783 
LINE: 333 | tid: 0 wid: 0 | i: 0 j: 1 bk: 0 | k: 4 | 0.007866 0.007874 0.000062 | 121634 7.533096 
